target_month,month_end_date,trading_days_in_month,realized_volatility,forecast_previous_month_rv,forecast_six_month_rv,forecast_gjr_garch,forecast_egarch,estimation_sample_size_days
2005-03,2005-03-31,20,0.2811388459529549,0.41296889500663186,0.3875001990804132,0.3559210613226033,1.1126882549983896,2497
2005-04,2005-04-29,20,0.27500229068440507,0.2811388459529549,0.3742235732236459,0.35316357445661284,1.0547661793267387,2517
2005-05,2005-05-27,17,0.4857214022634975,0.27500229068440507,0.349633330572519,0.3891428067946395,1.2543944716537765,2537
2005-06,2005-06-30,22,0.36093709168343285,0.4857214022634975,0.3724640757949309,0.33772438342408306,0.9379495893883991,2554
2005-07,2005-07-29,23,0.2787535386331515,0.36093709168343285,0.3587661162090026,0.3416572163909985,0.9738034699072952,2576
2005-08,2005-08-31,22,0.2468983188563655,0.2787535386331515,0.33567537602527187,0.34163693719175975,1.0110547007085575,2599
2005-09,2005-09-30,22,0.2562587603103446,0.2468983188563655,0.31763621212471893,0.3619675154540046,1.116466614049811,2621
2005-10,2005-10-31,21,0.3717960341838314,0.2562587603103446,0.3156073287913514,0.3284474287375269,0.9260060708060128,2643
2005-11,2005-11-30,20,0.3207755787326884,0.3717960341838314,0.33020772482783345,0.366268057245598,1.2614690232885994,2664
2005-12,2005-12-30,20,0.46180099677543085,0.3207755787326884,0.3054153082214929,0.3285522402091423,0.9189573100757132,2684
2006-01,2006-01-31,19,0.4598472234094347,0.46180099677543085,0.3234533037779939,0.32461111462763287,0.8594157432025434,2704
2006-02,2006-02-28,16,0.46220310865270714,0.4598472234094347,0.3497212216681867,0.3240642736416954,0.9355504396076229,2723
2006-03,2006-03-31,24,0.3157892235526203,0.46220310865270714,0.37144285394887555,0.3413057455544541,0.9943589019647746,2739
2006-04,2006-04-28,14,0.5222264383807689,0.3157892235526203,0.38067798990216273,0.3208476528562841,0.892627683551775,2763
2006-05,2006-05-31,19,0.5237752466681179,0.5222264383807689,0.3978058544976353,0.31658322123969035,0.8587267122302406,2777
2006-06,2006-06-30,24,0.5743855226206016,0.5237752466681179,0.42790804289018597,0.3481878190213544,1.1519706421237004,2796
2006-07,2006-07-31,22,0.5577199064216645,0.5743855226206016,0.4510260393584584,0.3593959020030379,1.2050706955553787,2820
2006-08,2006-08-31,22,0.5236322578349369,0.5577199064216645,0.4745696243321182,0.330366816782495,1.0188483989483927,2842
2006-09,2006-09-29,21,0.41218515191564215,0.5236322578349369,0.49558906518698315,0.3121169534217893,0.7865232817526148,2864
2006-10,2006-10-31,22,0.3474437913292512,0.41218515191564215,0.5044915737954635,0.31185556153747024,0.8598955248979321,2885
2006-11,2006-11-30,20,0.4034973704266394,0.3474437913292512,0.4868298105437734,0.30923744418539256,0.8067178072767569,2907
2006-12,2006-12-29,19,0.5004778930048788,0.4034973704266394,0.47656667956710846,0.31847146914287044,0.9661959246547436,2927
2007-01,2007-01-31,17,0.4273852682406238,0.5004778930048788,0.4545814280996342,0.3122594030570697,0.8716998403903409,2946
2007-02,2007-02-28,17,0.4714088765069545,0.4273852682406238,0.4222400698881065,0.3264596782391901,1.013446047432993,2963
2007-03,2007-03-30,20,0.444547163753857,0.4714088765069545,0.40097864649299053,0.3750894987622482,1.196588569568265,2980
2007-04,2007-04-30,18,0.3319113447259256,0.444547163753857,0.40555718906067684,0.3057674055471159,0.8495163703902552,3000
2007-05,2007-05-31,22,0.47332063401643026,0.3319113447259256,0.4111925964478366,0.31342871839835296,0.883100196366008,3018
2007-06,2007-06-29,20,0.3238221396642007,0.47332063401643026,0.4224758140578326,0.3066907015752946,0.9226696228644785,3040
2007-07,2007-07-31,21,0.41470397603588255,0.3238221396642007,0.39568702389149657,0.30019428932341685,0.8474618953719592,3060
2007-08,2007-08-31,23,0.42639739007508815,0.41470397603588255,0.39671301195656716,0.3450144430197624,1.161635467728325,3081
2007-09,2007-09-28,21,0.532142942816003,0.42639739007508815,0.4034994359957235,0.3617098422782128,1.2849356838777055,3104
2007-10,2007-10-31,21,0.4907713386137652,0.532142942816003,0.4188273334731363,0.30290183334754994,0.8855392733509924,3125
2007-11,2007-11-30,20,0.5245440277101036,0.4907713386137652,0.4366696805480095,0.3588680735146902,1.1913107190028551,3146
2007-12,2007-12-31,21,0.5143219060925527,0.5245440277101036,0.45010855909806424,0.3480391589954463,1.2495969514139882,3166
2008-01,2008-01-31,17,2.5539473636477066,0.5143219060925527,0.4736542426253512,0.3151558345729302,0.9823843319367164,3187
2008-02,2008-02-29,19,2.1027442614347986,2.5539473636477066,1.018391679961392,0.4077569365553926,1.3843226135210605,3204
2008-03,2008-03-31,20,1.7435339207798144,2.1027442614347986,1.2820698679947458,0.4418202425913018,1.2909354745211785,3223
2008-04,2008-04-30,21,1.8360406666853357,1.7435339207798144,1.4345552840754934,0.32356975809491667,1.0624357099744053,3243
2008-05,2008-05-30,20,1.9862824926964269,1.8360406666853357,1.6003246495379666,0.3111313906780976,0.8788576495251117,3264
2008-06,2008-06-30,19,1.8200816943672404,1.9862824926964269,1.7668941040099788,0.3138137712621262,0.9440381965997079,3284
2008-07,2008-07-31,23,1.3637534931755098,1.8200816943672404,1.8855934320302161,0.32261980933279893,0.9968469673269229,3303
2008-08,2008-08-29,22,1.5562926427944273,1.3637534931755098,1.7453920469295594,0.3819450077235898,1.356627022230295,3326
2008-09,2008-09-30,20,1.6509489846653593,1.5562926427944273,1.6783128056329304,0.3760704992281101,1.254900689640633,3348
2008-10,2008-10-31,24,1.4624495781979427,1.6509489846653593,1.6638362412370054,1.0283033420115377,2.847873044088453,3368
2008-11,2008-11-26,20,1.870482393902184,1.4624495781979427,1.6181461651838989,0.4758518323699782,1.8073069856525399,3392
2008-12,2008-12-31,19,2.090068960001896,1.870482393902184,1.595641038887926,0.6771519538051546,2.162757104309225,3412
2009-01,2009-01-30,18,1.2228046054646324,2.090068960001896,1.6377011833713113,0.42926301416638274,1.4991494680188244,3431
2009-02,2009-02-27,19,1.7679204642571464,1.2228046054646324,1.6077537055018003,0.4895058386172835,1.6158002025667024,3449
2009-03,2009-03-31,20,1.872107388025021,1.7679204642571464,1.6209771453646078,0.4521891269626293,1.468509888590561,3468
2009-04,2009-04-30,22,1.4285644394064996,1.872107388025021,1.6636360645950652,0.4429226956986019,1.5442826425115532,3488
2009-05,2009-05-29,19,1.6143598529407637,1.4285644394064996,1.6517659109789926,0.36568691505979317,1.2080273358582974,3510
2009-06,2009-06-30,21,1.386207612901752,1.6143598529407637,1.60500564695684,0.40872442167598655,1.4152848962799347,3529
2009-07,2009-07-31,21,1.066661078447061,1.386207612901752,1.488557506421575,0.3536054061410922,1.142696567269733,3550
2009-08,2009-08-31,21,0.9462705785170303,1.066661078447061,1.4824052787779003,0.34137291984758233,1.0156298307361926,3571
2009-09,2009-09-30,23,1.4641360872445954,0.9462705785170303,1.3732975446792357,0.34196701228894744,0.9336796247751853,3592
2009-10,2009-10-30,21,1.1946397653790823,1.4641360872445954,1.313792282257033,0.3369071089041696,1.0228226443821418,3615
2009-11,2009-11-30,18,1.4444065488715145,1.1946397653790823,1.273487227141703,0.5106625563485616,1.5948928646398965,3636
2009-12,2009-12-31,20,1.2907268121253617,1.4444065488715145,1.2374973252466663,0.33518100877658147,0.9951647734270459,3654
2010-01,2010-01-29,19,0.6290455631268704,1.2907268121253617,1.2153854044551344,0.34952699840582213,0.9486108556867262,3674
2010-02,2010-02-26,15,0.6572940063294916,0.6290455631268704,1.1627453346133734,0.35591628288363203,1.0829503801759166,3693
2010-03,2010-03-31,21,0.5856529944756849,0.6572940063294916,1.1234930857786505,0.32909692015502634,0.9434928293803507,3708
2010-04,2010-04-30,22,0.6110462524224437,0.5856529944756849,0.9697352264939454,0.3269472879240415,0.8529897242218735,3729
2010-05,2010-05-28,19,0.5981083537536283,0.6110462524224437,0.8767225461309436,0.39798268473592,1.2960361741479627,3751
